PDF Name,Matched DB Code,Match Confidence,Original Price,New EGP,New EUR,Discount %
1,Ca-1,0.93,8.0,8.8,0.21,0
F 4 16 GB white light Shiny Logo,NB06-NB06,0.39,6.24,6.86,0.17,0
F 6 D.grey shinny gun shiny logo 16 GB,Kc-103,0.35,7.3,8.03,0.19,0
F 6 Black shinny gun shiny logo16 GB,Kc 105,0.37,0.0,0.0,0.0,0
F 6 L.grey shinny gun shiny logo 16 GB,Kc-103,0.35,0.0,0.0,0.0,0
F 7 16 GB WHITE LIGHT shiny logo,NB06-NB06,0.39,6.24,6.86,0.17,0
F 8 Silver shiny logo 32gb,LC-120-I,0.34,7.3,8.03,0.19,0
F 9 blue gun shinny 16GB,Float-Be,0.33,6.35,6.99,0.17,0
F 9 blue gold 16GB,Mg-8,0.4,0.0,0.0,0.0,0
f 9 D.Grey gun shinny 16G,Bamboo -,0.35,0.0,0.0,0.0,0
F 9 blue black mutt 16GB,Mg-8,0.39,7.3,8.03,0.19,0
F 9 White Silver New 16GB,Mg-8,0.39,6.35,6.99,0.17,0
F 10 Black 16GB,LC-120-I,0.43,5.97,6.57,0.16,0
F 11 Gun Mutt 16GB,Ch-10-12-Gun,0.32,5.97,6.57,0.16,0
F 11 Gun Shinny 16GB,Ca-1,0.36,0.0,0.0,0.0,0
F 11 Silver Matt 16GB,LC-120-I,0.38,8.0,8.8,0.21,0
F 14 black mutt 16 G.B,168,0.36,5.71,6.28,0.15,0
F 14 gun shinny 16 G.B,Bamboo -,0.33,5.0,5.5,0.13,0
F 14 silver mutt 16 G.B,168,0.39,5.0,5.5,0.13,0
F 21 black mutt shiny logo 16 G.B,PP01-PLASTIC,0.37,7.0,7.7,0.19,0
F 21 Shinny Gun shiny logo 16 G.B,321,0.38,7.3,8.03,0.19,0
F 22 black mutt shiny logo 16 G.B,PP02-PLASTIC,0.37,7.3,8.03,0.19,0
F 22 shinny gun shiny logo 16 G.B,EC-226,0.39,3.0,3.3,0.08,0
F 23 black mutt logo 16 GB,NB-28-6-Black,0.36,7.3,8.03,0.19,0
F 25 black mutt shiny logo 32GB,MP01,0.35,7.3,8.03,0.19,0
